_id,Year,State,Citizen Category,Ethnic Group,Value ('000)
181,2019,PERAK,Malaysian citizens,Others,4.6
182,2019,PERAK,Non Malaysian citizens,N.A,73
183,2019,PERLIS,Total of employed,N.A,108.5
184,2019,PERLIS,Malaysian citizens,Total Malaysian citizens,103.5
185,2019,PERLIS,Malaysian citizens,Bumiputera,92.1
186,2019,PERLIS,Malaysian citizens,Chinese,7.9
187,2019,PERLIS,Malaysian citizens,Indians,1.4
188,2019,PERLIS,Malaysian citizens,Others,2.2
189,2019,PERLIS,Non Malaysian citizens,N.A,5.1
190,2019,SELANGOR,Total of employed,N.A,3489.5
191,2019,SELANGOR,Malaysian citizens,Total Malaysian citizens,3045.5
192,2019,SELANGOR,Malaysian citizens,Bumiputera,1727.5
193,2019,SELANGOR,Malaysian citizens,Chinese,923.4
194,2019,SELANGOR,Malaysian citizens,Indians,374.6
195,2019,SELANGOR,Malaysian citizens,Others,20.1
196,2019,SELANGOR,Non Malaysian citizens,N.A,444
197,2019,TERENGGANU,Total of employed,N.A,471
198,2019,TERENGGANU,Malaysian citizens,Total Malaysian citizens,453
199,2019,TERENGGANU,Malaysian citizens,Bumiputera,439.8
200,2019,TERENGGANU,Malaysian citizens,Chinese,12.5
201,2019,TERENGGANU,Malaysian citizens,Indians,0.4
202,2019,TERENGGANU,Malaysian citizens,Others,0.3
203,2019,TERENGGANU,Non Malaysian citizens,N.A,17.9
204,2019,SABAH,Total of employed,N.A,1908.6
205,2019,SABAH,Malaysian citizens,Total Malaysian citizens,1105.1
206,2019,SABAH,Malaysian citizens,Bumiputera,890.5
207,2019,SABAH,Malaysian citizens,Chinese,156.7
208,2019,SABAH,Malaysian citizens,Indians,4.7
209,2019,SABAH,Malaysian citizens,Others,53.1
210,2019,SABAH,Non Malaysian citizens,N.A,803.5
211,2019,SARAWAK,Total of employed,N.A,1304.7
212,2019,SARAWAK,Malaysian citizens,Total Malaysian citizens,1147.7
213,2019,SARAWAK,Malaysian citizens,Bumiputera,851
214,2019,SARAWAK,Malaysian citizens,Chinese,288.3
215,2019,SARAWAK,Malaysian citizens,Indians,2.6
216,2019,SARAWAK,Malaysian citizens,Others,5.8
217,2019,SARAWAK,Non Malaysian citizens,N.A,157.1
218,2019,W.P.KUALA LUMPUR,Total of employed,N.A,841
219,2019,W.P.KUALA LUMPUR,Malaysian citizens,Total Malaysian citizens,727.1
220,2019,W.P.KUALA LUMPUR,Malaysian citizens,Bumiputera,341.9
221,2019,W.P.KUALA LUMPUR,Malaysian citizens,Chinese,313.9
222,2019,W.P.KUALA LUMPUR,Malaysian citizens,Indians,65.3
223,2019,W.P.KUALA LUMPUR,Malaysian citizens,Others,6
224,2019,W.P.KUALA LUMPUR,Non Malaysian citizens,N.A,113.9
225,2019,W.P.LABUAN,Total of employed,N.A,40.3
226,2019,W.P.LABUAN,Malaysian citizens,Total Malaysian citizens,36.2
227,2019,W.P.LABUAN,Malaysian citizens,Bumiputera,30.9
228,2019,W.P.LABUAN,Malaysian citizens,Chinese,4.5
229,2019,W.P.LABUAN,Malaysian citizens,Indians,0.2
230,2019,W.P.LABUAN,Malaysian citizens,Others,0.6
231,2019,W.P.LABUAN,Non Malaysian citizens,N.A,4.1
232,2019,W.P.PUTRAJAYA,Total of employed,N.A,38.1
233,2019,W.P.PUTRAJAYA,Malaysian citizens,Total Malaysian citizens,36
234,2019,W.P.PUTRAJAYA,Malaysian citizens,Bumiputera,35.4
235,2019,W.P.PUTRAJAYA,Malaysian citizens,Chinese,0.1
236,2019,W.P.PUTRAJAYA,Malaysian citizens,Indians,0.5
237,2019,W.P.PUTRAJAYA,Malaysian citizens,Others,0
238,2019,W.P.PUTRAJAYA,Non Malaysian citizens,N.A,2.1
239,2018,MALAYSIA,Total of employed,N.A,14776
240,2018,MALAYSIA,Malaysian citizens,Total Malaysian citizens,12592.5
241,2018,MALAYSIA,Malaysian citizens,Bumiputera,8353.4
242,2018,MALAYSIA,Malaysian citizens,Chinese,3245.5
243,2018,MALAYSIA,Malaysian citizens,Indians,888.4
244,2018,MALAYSIA,Malaysian citizens,Others,105.2
245,2018,MALAYSIA,Non Malaysian citizens,N.A,2183.4
246,2018,JOHOR,Total of employed,N.A,1693.3
247,2018,JOHOR,Malaysian citizens,Total Malaysian citizens,1490.1
248,2018,JOHOR,Malaysian citizens,Bumiputera,864.5
249,2018,JOHOR,Malaysian citizens,Chinese,515.4
250,2018,JOHOR,Malaysian citizens,Indians,105
251,2018,JOHOR,Malaysian citizens,Others,5.2
252,2018,JOHOR,Non Malaysian citizens,N.A,203.1
253,2018,KEDAH,Total of employed,N.A,909.2
254,2018,KEDAH,Malaysian citizens,Total Malaysian citizens,840.9
255,2018,KEDAH,Malaysian citizens,Bumiputera,657.5
256,2018,KEDAH,Malaysian citizens,Chinese,111.2
257,2018,KEDAH,Malaysian citizens,Indians,63.2
258,2018,KEDAH,Malaysian citizens,Others,9.1
259,2018,KEDAH,Non Malaysian citizens,N.A,68.3
260,2018,KELANTAN,Total of employed,N.A,683.3
261,2018,KELANTAN,Malaysian citizens,Total Malaysian citizens,650.2
262,2018,KELANTAN,Malaysian citizens,Bumiputera,620.5
263,2018,KELANTAN,Malaysian citizens,Chinese,24.1
264,2018,KELANTAN,Malaysian citizens,Indians,1.5
265,2018,KELANTAN,Malaysian citizens,Others,4.2
266,2018,KELANTAN,Non Malaysian citizens,N.A,33.1
267,2018,MELAKA,Total of employed,N.A,416.7
268,2018,MELAKA,Malaysian citizens,Total Malaysian citizens,379.2
269,2018,MELAKA,Malaysian citizens,Bumiputera,257.3
270,2018,MELAKA,Malaysian citizens,Chinese,98.6
271,2018,MELAKA,Malaysian citizens,Indians,22
272,2018,MELAKA,Malaysian citizens,Others,1.3
273,2018,MELAKA,Non Malaysian citizens,N.A,37.6
274,2018,N.SEMBILAN,Total of employed,N.A,488.6
275,2018,N.SEMBILAN,Malaysian citizens,Total Malaysian citizens,425.7
276,2018,N.SEMBILAN,Malaysian citizens,Bumiputera,259.5
277,2018,N.SEMBILAN,Malaysian citizens,Chinese,102.5
278,2018,N.SEMBILAN,Malaysian citizens,Indians,62.6
279,2018,N.SEMBILAN,Malaysian citizens,Others,1.1
280,2018,N.SEMBILAN,Non Malaysian citizens,N.A,62.9
281,2018,PAHANG,Total of employed,N.A,716.6
282,2018,PAHANG,Malaysian citizens,Total Malaysian citizens,639.9
283,2018,PAHANG,Malaysian citizens,Bumiputera,501.7
284,2018,PAHANG,Malaysian citizens,Chinese,109.3
285,2018,PAHANG,Malaysian citizens,Indians,27.1
286,2018,PAHANG,Malaysian citizens,Others,1.7
287,2018,PAHANG,Non Malaysian citizens,N.A,76.7
288,2018,P.PINANG,Total of employed,N.A,830.8
289,2018,P.PINANG,Malaysian citizens,Total Malaysian citizens,715
290,2018,P.PINANG,Malaysian citizens,Bumiputera,326.1
291,2018,P.PINANG,Malaysian citizens,Chinese,320.3
292,2018,P.PINANG,Malaysian citizens,Indians,67.3
293,2018,P.PINANG,Malaysian citizens,Others,1.3
294,2018,P.PINANG,Non Malaysian citizens,N.A,115.8
295,2018,PERAK,Total of employed,N.A,1034.8
296,2018,PERAK,Malaysian citizens,Total Malaysian citizens,961.9
297,2018,PERAK,Malaysian citizens,Bumiputera,558
298,2018,PERAK,Malaysian citizens,Chinese,291.9
299,2018,PERAK,Malaysian citizens,Indians,109.4
300,2018,PERAK,Malaysian citizens,Others,2.5
301,2018,PERAK,Non Malaysian citizens,N.A,72.9
302,2018,PERLIS,Total of employed,N.A,104
303,2018,PERLIS,Malaysian citizens,Total Malaysian citizens,99.5
304,2018,PERLIS,Malaysian citizens,Bumiputera,88.8
305,2018,PERLIS,Malaysian citizens,Chinese,8.2
306,2018,PERLIS,Malaysian citizens,Indians,0.9
307,2018,PERLIS,Malaysian citizens,Others,1.6
308,2018,PERLIS,Non Malaysian citizens,N.A,4.5
309,2018,SELANGOR,Total of employed,N.A,3446.7
310,2018,SELANGOR,Malaysian citizens,Total Malaysian citizens,2965.6
311,2018,SELANGOR,Malaysian citizens,Bumiputera,1691.2
312,2018,SELANGOR,Malaysian citizens,Chinese,899
313,2018,SELANGOR,Malaysian citizens,Indians,357
314,2018,SELANGOR,Malaysian citizens,Others,18.4
315,2018,SELANGOR,Non Malaysian citizens,N.A,481
316,2018,TERENGGANU,Total of employed,N.A,447.8
317,2018,TERENGGANU,Malaysian citizens,Total Malaysian citizens,429.8
318,2018,TERENGGANU,Malaysian citizens,Bumiputera,415.8
319,2018,TERENGGANU,Malaysian citizens,Chinese,13.4
320,2018,TERENGGANU,Malaysian citizens,Indians,0.2
321,2018,TERENGGANU,Malaysian citizens,Others,0.4
322,2018,TERENGGANU,Non Malaysian citizens,N.A,18
323,2018,SABAH,Total of employed,N.A,1825.5
324,2018,SABAH,Malaysian citizens,Total Malaysian citizens,1087.3
325,2018,SABAH,Malaysian citizens,Bumiputera,882.6
326,2018,SABAH,Malaysian citizens,Chinese,152.5
327,2018,SABAH,Malaysian citizens,Indians,3.3
328,2018,SABAH,Malaysian citizens,Others,48.9
329,2018,SABAH,Non Malaysian citizens,N.A,738.2
330,2018,SARAWAK,Total of employed,N.A,1274.4
331,2018,SARAWAK,Malaysian citizens,Total Malaysian citizens,1117.3
332,2018,SARAWAK,Malaysian citizens,Bumiputera,832.3
333,2018,SARAWAK,Malaysian citizens,Chinese,281.2
334,2018,SARAWAK,Malaysian citizens,Indians,2.7
335,2018,SARAWAK,Malaysian citizens,Others,1
336,2018,SARAWAK,Non Malaysian citizens,N.A,157.1
337,2018,W.P.KUALA LUMPUR,Total of employed,N.A,824.4
338,2018,W.P.KUALA LUMPUR,Malaysian citizens,Total Malaysian citizens,717.4
339,2018,W.P.KUALA LUMPUR,Malaysian citizens,Bumiputera,330.8
340,2018,W.P.KUALA LUMPUR,Malaysian citizens,Chinese,313.6
341,2018,W.P.KUALA LUMPUR,Malaysian citizens,Indians,65.6
342,2018,W.P.KUALA LUMPUR,Malaysian citizens,Others,7.5
343,2018,W.P.KUALA LUMPUR,Non Malaysian citizens,N.A,106.9
344,2018,W.P.LABUAN,Total of employed,N.A,41.5
345,2018,W.P.LABUAN,Malaysian citizens,Total Malaysian citizens,36.7
346,2018,W.P.LABUAN,Malaysian citizens,Bumiputera,31.4
347,2018,W.P.LABUAN,Malaysian citizens,Chinese,4.4
348,2018,W.P.LABUAN,Malaysian citizens,Indians,0.2
349,2018,W.P.LABUAN,Malaysian citizens,Others,0.7
350,2018,W.P.LABUAN,Non Malaysian citizens,N.A,4.7
351,2018,W.P.PUTRAJAYA,Total of employed,N.A,38.4
352,2018,W.P.PUTRAJAYA,Malaysian citizens,Total Malaysian citizens,35.9
353,2018,W.P.PUTRAJAYA,Malaysian citizens,Bumiputera,35.4
354,2018,W.P.PUTRAJAYA,Malaysian citizens,Chinese,0.1
355,2018,W.P.PUTRAJAYA,Malaysian citizens,Indians,0.4
356,2018,W.P.PUTRAJAYA,Malaysian citizens,Others,0
357,2018,W.P.PUTRAJAYA,Non Malaysian citizens,N.A,2.5
358,2017,MALAYSIA,Total of employed,N.A,14476.8
359,2017,MALAYSIA,Malaysian citizens,Total Malaysian citizens,12232.8
360,2017,MALAYSIA,Malaysian citizens,Bumiputera,8115.9
361,2017,MALAYSIA,Malaysian citizens,Chinese,3132.3
362,2017,MALAYSIA,Malaysian citizens,Indians,887.1
363,2017,MALAYSIA,Malaysian citizens,Others,97.5
364,2017,MALAYSIA,Non Malaysian citizens,N.A,2244
365,2017,JOHOR,Total of employed,N.A,1616.7
366,2017,JOHOR,Malaysian citizens,Total Malaysian citizens,1402.5
367,2017,JOHOR,Malaysian citizens,Bumiputera,821.1
368,2017,JOHOR,Malaysian citizens,Chinese,477.4
369,2017,JOHOR,Malaysian citizens,Indians,101.2
370,2017,JOHOR,Malaysian citizens,Others,2.9
371,2017,JOHOR,Non Malaysian citizens,N.A,214.3
372,2017,KEDAH,Total of employed,N.A,906.3
373,2017,KEDAH,Malaysian citizens,Total Malaysian citizens,836.3
374,2017,KEDAH,Malaysian citizens,Bumiputera,654.6
375,2017,KEDAH,Malaysian citizens,Chinese,111.4
376,2017,KEDAH,Malaysian citizens,Indians,61.7
377,2017,KEDAH,Malaysian citizens,Others,8.5
378,2017,KEDAH,Non Malaysian citizens,N.A,70
379,2017,KELANTAN,Total of employed,N.A,676
380,2017,KELANTAN,Malaysian citizens,Total Malaysian citizens,639.9
381,2017,KELANTAN,Malaysian citizens,Bumiputera,608.2
382,2017,KELANTAN,Malaysian citizens,Chinese,24.9
383,2017,KELANTAN,Malaysian citizens,Indians,1.6
384,2017,KELANTAN,Malaysian citizens,Others,5.2
385,2017,KELANTAN,Non Malaysian citizens,N.A,36.1
386,2017,MELAKA,Total of employed,N.A,406.2
387,2017,MELAKA,Malaysian citizens,Total Malaysian citizens,370.6
388,2017,MELAKA,Malaysian citizens,Bumiputera,249.1
389,2017,MELAKA,Malaysian citizens,Chinese,97.6
390,2017,MELAKA,Malaysian citizens,Indians,22.7
391,2017,MELAKA,Malaysian citizens,Others,1.1
392,2017,MELAKA,Non Malaysian citizens,N.A,35.6
393,2017,N.SEMBILAN,Total of employed,N.A,477.3
394,2017,N.SEMBILAN,Malaysian citizens,Total Malaysian citizens,415.1
395,2017,N.SEMBILAN,Malaysian citizens,Bumiputera,255.8
396,2017,N.SEMBILAN,Malaysian citizens,Chinese,96.8
397,2017,N.SEMBILAN,Malaysian citizens,Indians,61.8
398,2017,N.SEMBILAN,Malaysian citizens,Others,0.7
399,2017,N.SEMBILAN,Non Malaysian citizens,N.A,62.2
400,2017,PAHANG,Total of employed,N.A,690.2
401,2017,PAHANG,Malaysian citizens,Total Malaysian citizens,614.8
402,2017,PAHANG,Malaysian citizens,Bumiputera,485
403,2017,PAHANG,Malaysian citizens,Chinese,101
404,2017,PAHANG,Malaysian citizens,Indians,27
405,2017,PAHANG,Malaysian citizens,Others,1.8
406,2017,PAHANG,Non Malaysian citizens,N.A,75.4
407,2017,P.PINANG,Total of employed,N.A,823.8
408,2017,P.PINANG,Malaysian citizens,Total Malaysian citizens,708.9
409,2017,P.PINANG,Malaysian citizens,Bumiputera,322.7
410,2017,P.PINANG,Malaysian citizens,Chinese,315.7
411,2017,P.PINANG,Malaysian citizens,Indians,68.2
412,2017,P.PINANG,Malaysian citizens,Others,2.3
413,2017,P.PINANG,Non Malaysian citizens,N.A,114.9
414,2017,PERAK,Total of employed,N.A,1013.3
415,2017,PERAK,Malaysian citizens,Total Malaysian citizens,935.3
416,2017,PERAK,Malaysian citizens,Bumiputera,540.1
417,2017,PERAK,Malaysian citizens,Chinese,282.9
418,2017,PERAK,Malaysian citizens,Indians,109.6
419,2017,PERAK,Malaysian citizens,Others,2.8
420,2017,PERAK,Non Malaysian citizens,N.A,78
421,2017,PERLIS,Total of employed,N.A,98.4
422,2017,PERLIS,Malaysian citizens,Total Malaysian citizens,93.7
423,2017,PERLIS,Malaysian citizens,Bumiputera,83
424,2017,PERLIS,Malaysian citizens,Chinese,7.5
425,2017,PERLIS,Malaysian citizens,Indians,1.2
426,2017,PERLIS,Malaysian citizens,Others,1.9
427,2017,PERLIS,Non Malaysian citizens,N.A,4.7
428,2017,SELANGOR,Total of employed,N.A,3359.4
429,2017,SELANGOR,Malaysian citizens,Total Malaysian citizens,2872.1
430,2017,SELANGOR,Malaysian citizens,Bumiputera,1626.9
431,2017,SELANGOR,Malaysian citizens,Chinese,866.7
432,2017,SELANGOR,Malaysian citizens,Indians,362
433,2017,SELANGOR,Malaysian citizens,Others,16.5
434,2017,SELANGOR,Non Malaysian citizens,N.A,487.3
435,2017,TERENGGANU,Total of employed,N.A,438.3
436,2017,TERENGGANU,Malaysian citizens,Total Malaysian citizens,420.7
437,2017,TERENGGANU,Malaysian citizens,Bumiputera,406.6
438,2017,TERENGGANU,Malaysian citizens,Chinese,13.7
439,2017,TERENGGANU,Malaysian citizens,Indians,0.2
440,2017,TERENGGANU,Malaysian citizens,Others,0.1
441,2017,TERENGGANU,Non Malaysian citizens,N.A,17.6
442,2017,SABAH,Total of employed,N.A,1796.3
443,2017,SABAH,Malaysian citizens,Total Malaysian citizens,1045.4
444,2017,SABAH,Malaysian citizens,Bumiputera,849.7
445,2017,SABAH,Malaysian citizens,Chinese,146.9
446,2017,SABAH,Malaysian citizens,Indians,2.6
447,2017,SABAH,Malaysian citizens,Others,46.2
448,2017,SABAH,Non Malaysian citizens,N.A,750.9
449,2017,SARAWAK,Total of employed,N.A,1253.7
450,2017,SARAWAK,Malaysian citizens,Total Malaysian citizens,1091.2
451,2017,SARAWAK,Malaysian citizens,Bumiputera,817.5
452,2017,SARAWAK,Malaysian citizens,Chinese,270.2
