_id,Year,State,Marital Status,Person
294,2017,P.PINANG,Widowed,16.7
295,2017,P.PINANG,Divorced/permanently separated,20.8
296,2017,PERAK,Total,1013.3
297,2017,PERAK,Never married,363.1
298,2017,PERAK,Married,605.7
299,2017,PERAK,Widowed,21.1
300,2017,PERAK,Divorced/permanently separated,23.3
301,2017,PERLIS,Total,98.4
302,2017,PERLIS,Never married,30.3
303,2017,PERLIS,Married,62.7
304,2017,PERLIS,Widowed,2.8
305,2017,PERLIS,Divorced/permanently separated,2.6
306,2017,SELANGOR,Total,3359.4
307,2017,SELANGOR,Never married,1088.8
308,2017,SELANGOR,Married,2152.6
309,2017,SELANGOR,Widowed,62.1
310,2017,SELANGOR,Divorced/permanently separated,55.8
311,2017,TERENGGANU,Total,438.3
312,2017,TERENGGANU,Never married,148.9
313,2017,TERENGGANU,Married,270.3
314,2017,TERENGGANU,Widowed,10.7
315,2017,TERENGGANU,Divorced/permanently separated,8.4
316,2017,SABAH,Total,1796.3
317,2017,SABAH,Never married,640.4
318,2017,SABAH,Married,1091.4
319,2017,SABAH,Widowed,31.2
320,2017,SABAH,Divorced/permanently separated,33.3
321,2017,SARAWAK,Total,1253.7
322,2017,SARAWAK,Never married,413.1
323,2017,SARAWAK,Married,786.8
324,2017,SARAWAK,Widowed,23.8
325,2017,SARAWAK,Divorced/permanently separated,30
326,2017,W.P.KUALA LUMPUR,Total,844.3
327,2017,W.P.KUALA LUMPUR,Never married,329.2
328,2017,W.P.KUALA LUMPUR,Married,480.7
329,2017,W.P.KUALA LUMPUR,Widowed,11.5
330,2017,W.P.KUALA LUMPUR,Divorced/permanently separated,22.9
331,2017,W.P.LABUAN,Total,38.5
332,2017,W.P.LABUAN,Never married,12
333,2017,W.P.LABUAN,Married,25.1
334,2017,W.P.LABUAN,Widowed,0.6
335,2017,W.P.LABUAN,Divorced/permanently separated,0.7
336,2017,W.P.PUTRAJAYA,Total,38
337,2017,W.P.PUTRAJAYA,Never married,7
338,2017,W.P.PUTRAJAYA,Married,29.8
339,2017,W.P.PUTRAJAYA,Widowed,0.6
340,2017,W.P.PUTRAJAYA,Divorced/permanently separated,0.7
341,2016,MALAYSIA,Total,14163.7
342,2016,MALAYSIA,Never married,4800.6
343,2016,MALAYSIA,Married,8808
344,2016,MALAYSIA,Widowed,293.3
345,2016,MALAYSIA,Divorced/permanently separated,261.7
346,2016,JOHOR,Total,1580.6
347,2016,JOHOR,Never married,561.4
348,2016,JOHOR,Married,962.8
349,2016,JOHOR,Widowed,33.4
350,2016,JOHOR,Divorced/permanently separated,23
351,2016,KEDAH,Total,884.3
352,2016,KEDAH,Never married,273.1
353,2016,KEDAH,Married,567.8
354,2016,KEDAH,Widowed,26.8
355,2016,KEDAH,Divorced/permanently separated,16.6
356,2016,KELANTAN,Total,632.9
357,2016,KELANTAN,Never married,186.2
358,2016,KELANTAN,Married,409.5
359,2016,KELANTAN,Widowed,21.4
360,2016,KELANTAN,Divorced/permanently separated,15.7
361,2016,MELAKA,Total,397.3
362,2016,MELAKA,Never married,134.4
363,2016,MELAKA,Married,245.9
364,2016,MELAKA,Widowed,8.9
365,2016,MELAKA,Divorced/permanently separated,8.1
366,2016,N.SEMBILAN,Total,466.9
367,2016,N.SEMBILAN,Never married,155
368,2016,N.SEMBILAN,Married,292.1
369,2016,N.SEMBILAN,Widowed,10.2
370,2016,N.SEMBILAN,Divorced/permanently separated,9.5
371,2016,PAHANG,Total,692.2
372,2016,PAHANG,Never married,223
373,2016,PAHANG,Married,439.1
374,2016,PAHANG,Widowed,19.3
375,2016,PAHANG,Divorced/permanently separated,10.9
376,2016,P.PINANG,Total,827.4
377,2016,P.PINANG,Never married,303.8
378,2016,P.PINANG,Married,482.3
379,2016,P.PINANG,Widowed,18.2
380,2016,P.PINANG,Divorced/permanently separated,23.1
381,2016,PERAK,Total,988.2
382,2016,PERAK,Never married,356
383,2016,PERAK,Married,596.5
384,2016,PERAK,Widowed,18.7
385,2016,PERAK,Divorced/permanently separated,17
386,2016,PERLIS,Total,100.1
387,2016,PERLIS,Never married,31.1
388,2016,PERLIS,Married,64.7
389,2016,PERLIS,Widowed,2.2
390,2016,PERLIS,Divorced/permanently separated,2.1
391,2016,SELANGOR,Total,3217.6
392,2016,SELANGOR,Never married,1044.4
393,2016,SELANGOR,Married,2076.8
394,2016,SELANGOR,Widowed,51.3
395,2016,SELANGOR,Divorced/permanently separated,45.1
396,2016,TERENGGANU,Total,428.5
397,2016,TERENGGANU,Never married,144.8
398,2016,TERENGGANU,Married,265.4
399,2016,TERENGGANU,Widowed,9.2
400,2016,TERENGGANU,Divorced/permanently separated,9.1
401,2016,SABAH,Total,1823.7
402,2016,SABAH,Never married,636.7
403,2016,SABAH,Married,1113.8
404,2016,SABAH,Widowed,37.2
405,2016,SABAH,Divorced/permanently separated,36.1
406,2016,SARAWAK,Total,1218.2
407,2016,SARAWAK,Never married,395
408,2016,SARAWAK,Married,771.3
409,2016,SARAWAK,Widowed,23.4
410,2016,SARAWAK,Divorced/permanently separated,28.5
411,2016,W.P.KUALA LUMPUR,Total,827.2
412,2016,W.P.KUALA LUMPUR,Never married,336.4
413,2016,W.P.KUALA LUMPUR,Married,463.1
414,2016,W.P.KUALA LUMPUR,Widowed,11.8
415,2016,W.P.KUALA LUMPUR,Divorced/permanently separated,15.9
416,2016,W.P.LABUAN,Total,40.2
417,2016,W.P.LABUAN,Never married,12.7
418,2016,W.P.LABUAN,Married,26.1
419,2016,W.P.LABUAN,Widowed,0.9
420,2016,W.P.LABUAN,Divorced/permanently separated,0.5
421,2016,W.P.PUTRAJAYA,Total,38.2
422,2016,W.P.PUTRAJAYA,Never married,6.5
423,2016,W.P.PUTRAJAYA,Married,31
424,2016,W.P.PUTRAJAYA,Widowed,0.2
425,2016,W.P.PUTRAJAYA,Divorced/permanently separated,0.5
426,2015,MALAYSIA,Total,14067.7
427,2015,MALAYSIA,Never married,4608.2
428,2015,MALAYSIA,Married,8901.7
429,2015,MALAYSIA,Widowed,300.3
430,2015,MALAYSIA,Divorced/permanently separated,257.5
431,2015,JOHOR,Total,1582.6
432,2015,JOHOR,Never married,543.2
433,2015,JOHOR,Married,978.8
434,2015,JOHOR,Widowed,36.4
435,2015,JOHOR,Divorced/permanently separated,24.3
436,2015,KEDAH,Total,881.6
437,2015,KEDAH,Never married,266.5
438,2015,KEDAH,Married,573.5
439,2015,KEDAH,Widowed,23.6
440,2015,KEDAH,Divorced/permanently separated,17.9
441,2015,KELANTAN,Total,652.1
442,2015,KELANTAN,Never married,194.3
443,2015,KELANTAN,Married,420.8
444,2015,KELANTAN,Widowed,20.5
445,2015,KELANTAN,Divorced/permanently separated,16.5
446,2015,MELAKA,Total,398.3
447,2015,MELAKA,Never married,132
448,2015,MELAKA,Married,249.3
449,2015,MELAKA,Widowed,8.4
450,2015,MELAKA,Divorced/permanently separated,8.7
451,2015,N.SEMBILAN,Total,468.7
452,2015,N.SEMBILAN,Never married,148.2
453,2015,N.SEMBILAN,Married,301.9
454,2015,N.SEMBILAN,Widowed,11.9
455,2015,N.SEMBILAN,Divorced/permanently separated,6.8
456,2015,PAHANG,Total,697.5
457,2015,PAHANG,Never married,223.2
458,2015,PAHANG,Married,444.3
459,2015,PAHANG,Widowed,20.6
460,2015,PAHANG,Divorced/permanently separated,9.5
461,2015,P.PINANG,Total,834.2
462,2015,P.PINANG,Never married,296.5
463,2015,P.PINANG,Married,502.1
464,2015,P.PINANG,Widowed,13.7
465,2015,P.PINANG,Divorced/permanently separated,21.9
466,2015,PERAK,Total,981.8
467,2015,PERAK,Never married,358.4
468,2015,PERAK,Married,581.5
469,2015,PERAK,Widowed,21.6
470,2015,PERAK,Divorced/permanently separated,20.3
471,2015,PERLIS,Total,98.2
472,2015,PERLIS,Never married,29.6
473,2015,PERLIS,Married,64
474,2015,PERLIS,Widowed,2.7
475,2015,PERLIS,Divorced/permanently separated,1.8
476,2015,SELANGOR,Total,3135
477,2015,SELANGOR,Never married,979.2
478,2015,SELANGOR,Married,2061.1
479,2015,SELANGOR,Widowed,52.7
480,2015,SELANGOR,Divorced/permanently separated,42
481,2015,TERENGGANU,Total,420.5
482,2015,TERENGGANU,Never married,135.1
483,2015,TERENGGANU,Married,265.6
484,2015,TERENGGANU,Widowed,11.5
485,2015,TERENGGANU,Divorced/permanently separated,8.3
486,2015,SABAH,Total,1771.1
487,2015,SABAH,Never married,585.3
488,2015,SABAH,Married,1117.8
489,2015,SABAH,Widowed,35.7
490,2015,SABAH,Divorced/permanently separated,32.3
491,2015,SARAWAK,Total,1214.8
492,2015,SARAWAK,Never married,380.9
493,2015,SARAWAK,Married,779.5
494,2015,SARAWAK,Widowed,24.1
495,2015,SARAWAK,Divorced/permanently separated,30.1
496,2015,W.P.KUALA LUMPUR,Total,853.4
497,2015,W.P.KUALA LUMPUR,Never married,316.5
498,2015,W.P.KUALA LUMPUR,Married,505.5
499,2015,W.P.KUALA LUMPUR,Widowed,15.4
500,2015,W.P.KUALA LUMPUR,Divorced/permanently separated,16.1
501,2015,W.P.LABUAN,Total,39.5
502,2015,W.P.LABUAN,Never married,12.4
503,2015,W.P.LABUAN,Married,25.2
504,2015,W.P.LABUAN,Widowed,1.1
505,2015,W.P.LABUAN,Divorced/permanently separated,0.6
506,2015,W.P.PUTRAJAYA,Total,38.5
507,2015,W.P.PUTRAJAYA,Never married,6.9
508,2015,W.P.PUTRAJAYA,Married,30.8
509,2015,W.P.PUTRAJAYA,Widowed,0.5
510,2015,W.P.PUTRAJAYA,Divorced/permanently separated,0.4
511,2014,MALAYSIA,Total,13852.6
512,2014,MALAYSIA,Never married,4670.7
513,2014,MALAYSIA,Married,8670.8
514,2014,MALAYSIA,Widowed,281.2
515,2014,MALAYSIA,Divorced/permanently separated,229.8
516,2014,JOHOR,Total,1579.7
517,2014,JOHOR,Never married,541
518,2014,JOHOR,Married,982.7
519,2014,JOHOR,Widowed,35.8
520,2014,JOHOR,Divorced/permanently separated,20.2
521,2014,KEDAH,Total,859.8
522,2014,KEDAH,Never married,252.1
523,2014,KEDAH,Married,567
524,2014,KEDAH,Widowed,21.2
525,2014,KEDAH,Divorced/permanently separated,19.6
526,2014,KELANTAN,Total,625.2
527,2014,KELANTAN,Never married,184.4
528,2014,KELANTAN,Married,404.9
529,2014,KELANTAN,Widowed,20.1
530,2014,KELANTAN,Divorced/permanently separated,15.7
531,2014,MELAKA,Total,394.9
532,2014,MELAKA,Never married,132.7
533,2014,MELAKA,Married,247.1
534,2014,MELAKA,Widowed,7.2
535,2014,MELAKA,Divorced/permanently separated,8
536,2014,N.SEMBILAN,Total,466.5
537,2014,N.SEMBILAN,Never married,157.7
538,2014,N.SEMBILAN,Married,288.3
539,2014,N.SEMBILAN,Widowed,12.8
540,2014,N.SEMBILAN,Divorced/permanently separated,7.7
541,2014,PAHANG,Total,683.2
542,2014,PAHANG,Never married,220.8
543,2014,PAHANG,Married,434.5
544,2014,PAHANG,Widowed,17.2
545,2014,PAHANG,Divorced/permanently separated,10.6
546,2014,P.PINANG,Total,839.2
547,2014,P.PINANG,Never married,299.8
548,2014,P.PINANG,Married,505.9
549,2014,P.PINANG,Widowed,15.9
550,2014,P.PINANG,Divorced/permanently separated,17.6
551,2014,PERAK,Total,954.1
552,2014,PERAK,Never married,337.6
553,2014,PERAK,Married,573.6
554,2014,PERAK,Widowed,25.6
555,2014,PERAK,Divorced/permanently separated,17.4
556,2014,PERLIS,Total,95.2
557,2014,PERLIS,Never married,30
558,2014,PERLIS,Married,59.9
559,2014,PERLIS,Widowed,2.7
560,2014,PERLIS,Divorced/permanently separated,2.6
561,2014,SELANGOR,Total,3033.6
562,2014,SELANGOR,Never married,1036.5
563,2014,SELANGOR,Married,1914.1
564,2014,SELANGOR,Widowed,49.1
565,2014,SELANGOR,Divorced/permanently separated,33.9
566,2014,TERENGGANU,Total,414.9
567,2014,TERENGGANU,Never married,134.5
568,2014,TERENGGANU,Married,261.7
569,2014,TERENGGANU,Widowed,10.1
570,2014,TERENGGANU,Divorced/permanently separated,8.5
571,2014,SABAH,Total,1740.9
572,2014,SABAH,Never married,606.4
573,2014,SABAH,Married,1079.2
574,2014,SABAH,Widowed,27.6
575,2014,SABAH,Divorced/permanently separated,27.7
576,2014,SARAWAK,Total,1232.2
577,2014,SARAWAK,Never married,388.7
578,2014,SARAWAK,Married,795
579,2014,SARAWAK,Widowed,21.6
580,2014,SARAWAK,Divorced/permanently separated,27
581,2014,W.P.KUALA LUMPUR,Total,852
582,2014,W.P.KUALA LUMPUR,Never married,327.8
583,2014,W.P.KUALA LUMPUR,Married,498.8
584,2014,W.P.KUALA LUMPUR,Widowed,13.3
585,2014,W.P.KUALA LUMPUR,Divorced/permanently separated,12.1
586,2014,W.P.LABUAN,Total,40.8
587,2014,W.P.LABUAN,Never married,13.6
588,2014,W.P.LABUAN,Married,25.8
589,2014,W.P.LABUAN,Widowed,0.9
590,2014,W.P.LABUAN,Divorced/permanently separated,0.5
591,2014,W.P.PUTRAJAYA,Total,40.3
592,2014,W.P.PUTRAJAYA,Never married,7.2
593,2014,W.P.PUTRAJAYA,Married,32.2
594,2014,W.P.PUTRAJAYA,Widowed,0.3
595,2014,W.P.PUTRAJAYA,Divorced/permanently separated,0.7
596,2013,MALAYSIA,Total,13545.4
597,2013,MALAYSIA,Never married,4611.7
598,2013,MALAYSIA,Married,8414.1
599,2013,MALAYSIA,Widowed,281.6
600,2013,MALAYSIA,Divorced/permanently separated,238
601,2013,JOHOR,Total,1553.4
602,2013,JOHOR,Never married,516
603,2013,JOHOR,Married,980
604,2013,JOHOR,Widowed,30.5
605,2013,JOHOR,Divorced/permanently separated,27
606,2013,KEDAH,Total,842.3
607,2013,KEDAH,Never married,251.7
608,2013,KEDAH,Married,550.4
609,2013,KEDAH,Widowed,23.3
610,2013,KEDAH,Divorced/permanently separated,16.9
611,2013,KELANTAN,Total,602.7
612,2013,KELANTAN,Never married,172.9
613,2013,KELANTAN,Married,397.1
614,2013,KELANTAN,Widowed,19.4
615,2013,KELANTAN,Divorced/permanently separated,13.4
616,2013,MELAKA,Total,375.5
617,2013,MELAKA,Never married,127
618,2013,MELAKA,Married,233.1
619,2013,MELAKA,Widowed,8.9
620,2013,MELAKA,Divorced/permanently separated,6.6
621,2013,N.SEMBILAN,Total,464.1
622,2013,N.SEMBILAN,Never married,154.2
623,2013,N.SEMBILAN,Married,289.6
624,2013,N.SEMBILAN,Widowed,13.2
625,2013,N.SEMBILAN,Divorced/permanently separated,7.1
626,2013,PAHANG,Total,659.8
627,2013,PAHANG,Never married,214.7
628,2013,PAHANG,Married,417.6
629,2013,PAHANG,Widowed,17.2
630,2013,PAHANG,Divorced/permanently separated,10.3
631,2013,P.PINANG,Total,811.9
632,2013,P.PINANG,Never married,292.2
633,2013,P.PINANG,Married,487
634,2013,P.PINANG,Widowed,14.9
635,2013,P.PINANG,Divorced/permanently separated,17.8
636,2013,PERAK,Total,947.8
637,2013,PERAK,Never married,340.5
638,2013,PERAK,Married,570.9
