_id,Year,Country/State,Classification,Occupation,Person ('000)
68,2020,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,161.9
69,2020,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",11.4
70,2020,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,54.8
71,2020,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,149.9
72,2020,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,60.8
73,2020,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,49.5
74,2020,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,103.7
75,2020,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,92.5
76,2020,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,74.3
77,2020,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,269.7
78,2020,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",71.8
79,2020,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,120.9
80,2020,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,140.2
81,2020,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,120.1
82,2020,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,5.1
83,2020,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,12.7
84,2020,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,11.1
85,2020,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,9.0
86,2020,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,28.3
87,2020,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",9.9
88,2020,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,11.6
89,2020,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,7.7
90,2020,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,10.1
91,2020,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,293.7
92,2020,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,620.4
93,2020,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,485.5
94,2020,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,368.9
95,2020,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,691.3
96,2020,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",62.5
97,2020,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,244.3
98,2020,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,429.6
99,2020,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,250.3
100,2020,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,13.7
101,2020,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,47.5
102,2020,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,36.4
103,2020,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,29.1
104,2020,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,137.1
105,2020,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",34.9
106,2020,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,86.9
107,2020,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,26.5
108,2020,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,52.9
109,2020,SABAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,68.7
110,2020,SABAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,135.4
111,2020,SABAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,113.3
112,2020,SABAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,117.0
113,2020,SABAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,506.6
114,2020,SABAH,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",205.2
115,2020,SABAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,168.1
116,2020,SABAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,152.2
117,2020,SABAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,403.1
118,2020,SARAWAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,43.0
119,2020,SARAWAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,112.7
120,2020,SARAWAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,95.7
121,2020,SARAWAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,100.9
122,2020,SARAWAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,298.8
123,2020,SARAWAK,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",163.5
124,2020,SARAWAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,141.8
125,2020,SARAWAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,109.8
126,2020,SARAWAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,196.0
127,2020,W.P.KUALA LUMPUR,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,87.8
128,2020,W.P.KUALA LUMPUR,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,159.9
129,2020,W.P.KUALA LUMPUR,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,109.1
130,2020,W.P.KUALA LUMPUR,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,97.7
131,2020,W.P.KUALA LUMPUR,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,209.7
132,2020,W.P.KUALA LUMPUR,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",1.0
133,2020,W.P.KUALA LUMPUR,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,65.0
134,2020,W.P.KUALA LUMPUR,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,66.9
135,2020,W.P.KUALA LUMPUR,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,77.6
136,2020,W.P.LABUAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,1.9
137,2020,W.P.LABUAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,4.1
138,2020,W.P.LABUAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,6.5
139,2020,W.P.LABUAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,5.8
140,2020,W.P.LABUAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,13.0
141,2020,W.P.LABUAN,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",1.1
142,2020,W.P.LABUAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,4.4
143,2020,W.P.LABUAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,2.5
144,2020,W.P.LABUAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,3.5
145,2020,W.P.PUTRAJAYA,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,1.6
146,2020,W.P.PUTRAJAYA,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,10.8
147,2020,W.P.PUTRAJAYA,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,4.3
148,2020,W.P.PUTRAJAYA,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,10.0
149,2020,W.P.PUTRAJAYA,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,4.7
150,2020,W.P.PUTRAJAYA,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",0.0
151,2020,W.P.PUTRAJAYA,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,1.3
152,2020,W.P.PUTRAJAYA,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,1.1
153,2020,W.P.PUTRAJAYA,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,2.4
154,2019,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,694.5
155,2019,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,1883.5
156,2019,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,1573.9
157,2019,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,1272.1
158,2019,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,3411.6
159,2019,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",932.8
160,2019,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,1577.1
161,2019,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,1865.4
162,2019,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,1862.5
163,2019,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,60.5
164,2019,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,161.2
165,2019,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,215.3
166,2019,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,142.8
167,2019,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,417.6
168,2019,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",64.0
169,2019,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,229.1
170,2019,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,269.3
171,2019,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,196.4
172,2019,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,25.6
173,2019,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,90.3
174,2019,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,83.0
175,2019,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,57.2
176,2019,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,230.8
177,2019,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",96.5
178,2019,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,97.1
179,2019,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,139.3
180,2019,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,103.9
181,2019,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,13.6
182,2019,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,73.2
183,2019,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,43.6
184,2019,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,34.5
185,2019,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,202.6
186,2019,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",77.2
187,2019,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,99.7
188,2019,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,48.5
189,2019,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,89.5
190,2019,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,18.5
191,2019,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,61.4
192,2019,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,62.5
193,2019,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,34.8
194,2019,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,107.7
195,2019,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",7.9
196,2019,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,34.8
197,2019,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,63.4
198,2019,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,37.4
199,2019,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,23.1
200,2019,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,58.3
201,2019,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,59.5
202,2019,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,33.3
203,2019,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,120.7
204,2019,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",16.0
205,2019,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,37.3
206,2019,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,66.6
207,2019,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,67.6
208,2019,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,16.3
209,2019,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,75.7
210,2019,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,56.2
211,2019,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,48.5
212,2019,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,176.6
213,2019,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",80.1
214,2019,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,70.4
215,2019,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,76.6
216,2019,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,119.2
217,2019,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,51.3
218,2019,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,126.0
219,2019,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,101.8
220,2019,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,82.1
221,2019,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,161.5
222,2019,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",11.4
223,2019,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,70.7
224,2019,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,168.2
225,2019,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,62.5
226,2019,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,41.8
227,2019,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,104.0
228,2019,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,94.1
229,2019,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,86.1
230,2019,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,282.3
231,2019,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",62.2
232,2019,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,130.1
233,2019,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,131.6
234,2019,PERAK,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,111.6
235,2019,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,4.6
236,2019,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,12.4
237,2019,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,9.9
238,2019,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,9.2
239,2019,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,32.3
240,2019,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",8.4
241,2019,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,13.7
242,2019,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,7.9
243,2019,PERLIS,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,10.2
244,2019,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,257.1
245,2019,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,639.7
246,2019,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,482.1
247,2019,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,396.4
248,2019,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,626.5
249,2019,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",54.6
250,2019,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,297.8
251,2019,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,487.9
252,2019,SELANGOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,247.4
253,2019,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,11.5
254,2019,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,54.5
255,2019,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,37.5
256,2019,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,29.3
257,2019,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,136.6
258,2019,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",34.3
259,2019,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,85.5
260,2019,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,31.0
261,2019,TERENGGANU,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,50.7
262,2019,SABAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,56.7
