_id,Year,State/Country,Classification,Industry,Person ('000)
27,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",9.6
28,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,148.2
29,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",376.3
30,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,87
31,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,177.7
32,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,9
33,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,35.8
34,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,10.9
35,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",37.8
36,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,75.8
37,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,35.5
38,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Education,85.5
39,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,58.1
40,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",3.8
41,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,40
42,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,6.6
43,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Total,914.7
44,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",119.4
45,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,1.9
46,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,174.3
47,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",2.5
48,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",7.1
49,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,55.2
50,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",172.3
51,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,32.2
52,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,105.1
53,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,3.4
54,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,10.7
55,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,2.7
56,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",11.1
57,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,46.7
58,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,36.3
59,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Education,77.7
60,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,38
61,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",2.8
62,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,12.8
63,2020,KEDAH,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,2.4
64,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Total,680.8
65,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",87.6
66,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,2.5
67,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,71.2
68,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",2.3
69,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",1.4
70,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,76.2
71,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",142.5
72,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,20.6
73,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,72.3
74,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,2.8
75,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,6.5
76,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,0.5
77,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",7.8
78,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,40.4
79,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,40
80,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Education,58.4
81,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,37.2
82,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",0.6
83,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,8.5
84,2020,KELANTAN,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,1.6
85,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Total,417.3
86,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",17.8
87,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,2.3
88,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,94.3
89,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",1.9
90,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",2.6
91,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,27.8
92,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",72.2
93,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,13
94,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,43
95,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,3.6
96,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,9.4
97,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,0.6
98,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",8.7
99,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,17.6
100,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,36.3
101,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Education,32.7
102,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,22.5
103,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",1.7
104,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,7.7
105,2020,MELAKA,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,1.6
106,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Total,474.1
107,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",37.7
108,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,3.6
109,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,81.5
110,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",4.7
111,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",3.5
112,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,31.3
113,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",75
114,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,22.6
115,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,51.2
116,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,5.2
117,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,9.2
118,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,2.9
119,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",7.8
120,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,31.3
121,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,38.1
122,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Education,33.6
123,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,20.5
124,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",2.5
125,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,8.6
126,2020,NEGERI SEMBILAN,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,3.1
127,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Total,715.9
128,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",149.9
129,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,2.9
130,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,71.8
131,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",3.4
132,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",7.3
133,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,43
134,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",118.8
135,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,25.1
136,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,74.1
137,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,2.4
138,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,11
139,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,0.6
140,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",8.4
141,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,34.9
142,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,48
143,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Education,66
144,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,33
145,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",2.3
146,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,12.4
147,2020,PAHANG,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,0.6
148,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Total,832.9
149,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",13.9
150,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,1.2
151,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,299.3
152,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",1.9
153,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",4.5
154,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,44.4
155,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",132
156,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,49.3
157,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,69.1
158,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,6.4
159,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,19.6
160,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,4.7
161,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",19.9
162,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,35.6
163,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,31.3
164,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Education,45.3
165,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,35.3
166,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",2.7
167,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,13.5
168,2020,PULAU PINANG,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,2.9
169,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Total,1042.8
170,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",123.4
171,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,6.2
172,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,174.2
173,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",4.9
174,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",8.7
175,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,74.3
176,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",192.3
177,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,44.3
178,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,113.9
179,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,6.7
180,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,16.7
181,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,2
182,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",16.5
183,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,49.8
184,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,59.3
185,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Education,77.5
186,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,45.5
187,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",4.4
188,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,19.8
189,2020,PERAK,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,2.6
190,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Total,105.6
191,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",12.2
192,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,0.2
193,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,9.4
194,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",0.1
195,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",0.9
196,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,7.4
197,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",14.7
198,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,3.8
199,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,16.7
200,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,0.2
201,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,1.3
202,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,0.1
203,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",1.4
204,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,7.8
205,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,11.7
206,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Education,9.8
207,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,5.5
208,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",0.3
209,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,1.7
210,2020,PERLIS,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,0.3
211,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Total,3446.5
212,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",80.8
213,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,22.1
214,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,595.7
215,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",21.6
216,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",17.3
217,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,277.2
218,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",634.7
219,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,220.9
220,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,380.3
221,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,117.9
222,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,143.8
223,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,34.8
224,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",141.8
225,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,184.8
226,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,147.2
227,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Education,208.6
228,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,121.5
229,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",16.7
230,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,59.4
231,2020,SELANGOR,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,19
232,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Total,465
233,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",49.4
234,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,7.2
235,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,53.5
236,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",2.1
237,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",3
238,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,61.4
239,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",76.1
240,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,13.5
241,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,56.6
242,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,2.1
243,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,3.8
244,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,0.3
245,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",4.6
246,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,35.3
247,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,30.4
248,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Education,34
249,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,23.7
250,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",1
251,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,6.7
252,2020,TERENGGANU,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,0.4
253,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,Total,1869.7
254,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",472.1
255,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,5.8
256,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,203.9
257,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",7.8
258,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",7.3
259,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,118.7
260,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",366.7
261,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,62.7
262,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,169.3
263,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,10.6
264,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,22
265,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,4.2
266,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",18
267,2020,SABAH,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,111.8
